start,end,text
107.724,108.852,you buy low
120.055,121.264,it's like so easy
141.807,147.142,lost harvest this is good we love making money in this house
155.207,158.198,wove quilt
160.428,162.678,they died that's great that's perfect timing
180.824,184.176,conceived a child that's not that positive i guess
227.294,228.653,crop creature
230.007,230.835,yes
242.103,244.744,i'm so glad the baby died to the crop creature
0.143,2.641,so this game is satire baby
61.817,66.758,children are our future
67.529,68.642,buy baby stocks
68.504,69.882,sell baby stocks
70.125,71.242,short a baby
